,Date_time,Ws_avg,P_avg
217,2017-06-03T22:30:00+02:00,7.36,582.39
218,2017-03-30T05:40:00+02:00,5.3299999,181.09
219,2017-06-04T00:10:00+02:00,8.27,923.15
220,2017-03-08T20:20:00+01:00,9.6099997,1222.6801
221,2017-06-04T00:50:00+02:00,7.66,736.29
222,2017-03-30T18:50:00+02:00,5.6900001,140.78999
223,2017-06-04T01:20:00+02:00,10.33,1469.09
224,2017-03-30T19:50:00+02:00,5.4499998,151.52
225,2017-06-04T02:40:00+02:00,7.74,809.61
226,2017-03-30T20:20:00+02:00,5.5599999,177.83
227,2017-06-04T03:50:00+02:00,8.25,984.98
228,2017-03-31T01:30:00+02:00,8.5200005,1012.96
229,2017-06-04T04:50:00+02:00,8.02,921.69
230,2017-03-31T07:20:00+02:00,6.29,403.20001
231,2017-06-04T05:20:00+02:00,7.63,766.79
232,2017-03-31T14:30:00+02:00,6.6399999,411.09
233,2017-06-04T06:30:00+02:00,6.88,583.2
234,2017-05-05T10:30:00+02:00,3.96,28.5
235,2017-06-04T08:40:00+02:00,6.99,538.56
236,2017-04-01T04:50:00+02:00,0.54000002,-1.59
237,2017-06-04T09:20:00+02:00,5.66,252.42
238,2017-02-14T21:50:00+01:00,5.29,150.82001
239,2017-06-04T09:40:00+02:00,5.33,164.86
240,2017-04-01T21:10:00+02:00,4.6500001,66.559998
241,2017-06-04T10:20:00+02:00,5.16,134.34
242,2017-05-06T07:30:00+02:00,2.8099999,6.3400002
243,2017-06-04T14:10:00+02:00,2.63,0.0
244,2017-03-09T11:00:00+01:00,7.550000199999999,627.88
245,2017-06-04T14:40:00+02:00,4.92,73.67
246,2017-04-02T09:50:00+02:00,3.3399999,-1.02
247,2017-06-04T16:10:00+02:00,3.01,0.0
248,2017-04-02T10:30:00+02:00,4.21,40.400002
249,2017-06-04T17:10:00+02:00,1.4,0.0
250,2017-04-30T13:10:00+02:00,8.3500004,856.06
251,2017-06-04T17:20:00+02:00,3.51,11.88
252,2017-04-02T15:00:00+02:00,6.6300001,416.06
253,2017-06-04T18:10:00+02:00,4.13,44.46
254,2017-03-18T23:10:00+01:00,8.9300003,940.88
255,2017-06-04T19:00:00+02:00,3.17,3.73
256,2017-05-07T15:20:00+02:00,6.25,412.10999
257,2017-06-04T19:10:00+02:00,2.81,0.0
258,2017-05-07T22:40:00+02:00,6.4000001,423.79001
259,2017-06-04T19:20:00+02:00,3.75,15.06
260,2017-03-12T03:30:00+01:00,4.27,66.639999
261,2017-06-04T19:30:00+02:00,3.87,26.47
262,2017-03-12T09:00:00+01:00,4.9499998,84.75
263,2017-06-04T20:10:00+02:00,3.0,3.42
264,2017-02-20T19:40:00+01:00,7.0900002,724.22998
265,2017-06-04T21:10:00+02:00,3.92,20.65
266,2017-02-21T02:10:00+01:00,7.4200001,795.17999
267,2017-06-05T00:20:00+02:00,2.69,0.0
268,2017-03-13T05:00:00+01:00,6.6900001,518.0
269,2017-06-05T03:10:00+02:00,1.6800000000000002,0.0
270,2017-05-08T18:10:00+02:00,1.38,-5.6100001
271,2017-06-05T04:10:00+02:00,3.74,0.6000000000000001
272,2017-03-13T09:20:00+01:00,2.01,-2.9400001
273,2017-06-05T06:00:00+02:00,2.68,0.0
274,2017-05-13T17:20:00+02:00,4.73,110.53
275,2017-06-05T15:30:00+02:00,,
276,2017-03-14T17:30:00+01:00,5.5100002,122.07
277,2017-06-05T15:40:00+02:00,,
278,2017-03-15T01:50:00+01:00,5.1199999,161.82001
279,2017-06-05T16:20:00+02:00,,
280,2017-02-21T12:20:00+01:00,7.3200002,630.06
281,2017-06-05T21:30:00+02:00,,
282,2017-03-16T02:40:00+01:00,6.5599999,545.85999
283,2017-06-05T22:20:00+02:00,,
284,2017-03-16T06:40:00+01:00,6.8600001,575.58002
285,2017-06-05T22:30:00+02:00,,
286,2017-03-16T10:30:00+01:00,2.3699999,-1.3
287,2017-06-06T00:50:00+02:00,8.69,1100.28
288,2017-03-18T08:10:00+01:00,11.23,1594.98
289,2017-06-06T02:10:00+02:00,7.2,639.85
290,2017-03-18T20:50:00+01:00,10.35,1355.76
291,2017-06-06T02:50:00+02:00,7.2,575.34
292,2017-02-23T12:20:00+01:00,11.83,1765.36
293,2017-06-06T05:00:00+02:00,10.49,1161.2
294,2017-03-19T21:50:00+01:00,7.4099998,739.54999
295,2017-06-06T06:50:00+02:00,9.09,1012.48
296,2017-05-11T11:30:00+02:00,9.7600002,-0.57999998
297,2017-06-06T08:50:00+02:00,12.77,1881.03
298,2017-02-24T22:50:00+01:00,2.45,-0.94
299,2017-06-06T11:30:00+02:00,12.4,1852.72
300,2017-03-21T15:50:00+01:00,8.8900003,1099.36
301,2017-06-06T11:50:00+02:00,10.12,1284.6
302,2017-05-12T11:20:00+02:00,5.48,-1.16
303,2017-06-06T12:40:00+02:00,11.85,1728.3
304,2017-05-12T23:50:00+02:00,5.5700002,222.66
305,2017-06-06T12:50:00+02:00,12.4,1729.92
306,2017-04-15T15:20:00+02:00,6.0500002,305.34
307,2017-06-06T13:50:00+02:00,14.82,1879.35
308,2017-03-22T23:50:00+01:00,5.8299999,233.19
309,2017-06-06T15:00:00+02:00,10.27,1438.77
310,2017-05-13T02:40:00+02:00,3.99,40.009998
311,2017-06-06T15:50:00+02:00,9.32,1148.25
312,2017-03-23T10:10:00+01:00,5.8600001,272.59
313,2017-06-06T17:40:00+02:00,7.46,649.2
314,2017-04-16T03:40:00+02:00,3.98,53.119999
315,2017-06-06T18:10:00+02:00,7.89,760.96
316,2017-03-24T04:10:00+01:00,6.27,386.35999
317,2017-06-06T19:40:00+02:00,5.58,245.33
318,2017-03-24T10:00:00+01:00,6.0700002,416.57999
